,s,d
0,1,Educación física
1,1,Básica
2,1,Básica
3,1,Básica
4,1,Básica
5,1,Básica
6,1,Básica
7,1,Inglés
8,1,Inglés
9,1,Orientación
10,1,Orientación
11,1,Orientación
12,1,Música
13,2,Educación física
14,2,Básica
15,2,Básica
16,2,Básica
17,2,Básica
18,2,Básica
19,2,Básica
20,2,Inglés
21,2,Inglés
22,2,Orientación
23,2,Orientación
24,2,Orientación
25,2,Música
26,3,Educación física
27,3,Básica
28,3,Básica
29,3,Básica
30,3,Básica
31,3,Básica
32,3,Básica
33,3,Inglés
34,3,Inglés
35,3,Orientación
36,3,Orientación
37,3,Orientación
38,3,Música
39,4,Educación física
40,4,Básica
41,4,Básica
42,4,Básica
43,4,Básica
44,4,Básica
45,4,Básica
46,4,Inglés
47,4,Inglés
48,4,Orientación
49,4,Orientación
50,4,Orientación
51,4,Música
