,s,d
0,1,Educación física
1,1,Básica
2,1,Básica
3,1,Básica
4,1,Básica
5,1,Básica
6,1,Básica
7,1,Inglés
8,1,Inglés
9,1,Orientación
10,1,Orientación
11,1,Orientación
12,1,Música
13,2,Educación física
14,2,Básica
15,2,Básica
16,2,Básica
17,2,Básica
18,2,Básica
19,2,Básica
20,2,Inglés
21,2,Inglés
22,2,Orientación
23,2,Orientación
24,2,Orientación
25,2,Música
26,3,Educación física
27,3,Básica
28,3,Básica
29,3,Básica
30,3,Básica
31,3,Básica
32,3,Básica
33,3,Inglés
34,3,Inglés
35,3,Orientación
36,3,Orientación
37,3,Orientación
38,3,Música
39,4,Educación física
40,4,Básica
41,4,Básica
42,4,Básica
43,4,Básica
44,4,Básica
45,4,Básica
46,4,Inglés
47,4,Inglés
48,4,Orientación
49,4,Orientación
50,4,Orientación
51,4,Música
52,5,Educación física
53,5,Básica
54,5,Básica
55,5,Básica
56,5,Básica
57,5,Básica
58,5,Básica
59,5,Inglés
60,5,Inglés
61,5,Orientación
62,5,Orientación
63,5,Orientación
64,5,Música
65,6,Educación física
66,6,Básica
67,6,Básica
68,6,Básica
69,6,Básica
70,6,Básica
71,6,Básica
72,6,Inglés
73,6,Inglés
74,6,Orientación
75,6,Orientación
76,6,Orientación
77,6,Música
78,7,Educación física
79,7,Básica
80,7,Básica
81,7,Básica
82,7,Básica
83,7,Básica
84,7,Básica
85,7,Inglés
86,7,Inglés
87,7,Orientación
88,7,Orientación
89,7,Orientación
90,7,Música
91,8,Educación física
92,8,Básica
93,8,Básica
94,8,Básica
95,8,Básica
96,8,Básica
97,8,Básica
98,8,Inglés
99,8,Inglés
100,8,Orientación
101,8,Orientación
102,8,Orientación
103,8,Música
