Marca temporal,departamento,tiempo,h_entretenimiento,h_explicacion,h_difusion,a_explicacion,a_difusion,a_entretenimiento,a_atraso,a_publicidad
,Básica,3,0,3,0,7,6,4,10,7
14/10/2020 9:50:42,Básica,8,10,10,8,9,9,10,,9
14/10/2020 11:13:24,Básica,3,8,10,,8,6,5,,7
14/10/2020 11:58:50,Básica,4,7,8,,10,9,10,,8
14/10/2020 12:38:57,Orientación,4,3,5,,5,7,6,,6
14/10/2020 13:02:47,Orientación,8,8,8,,10,10,10,,9
14/10/2020 13:09:38,Orientación,5,8,8,9,8,8,8,,10
14/10/2020 13:27:46,Inglés,6,8,8,,7,6,9,,8
14/10/2020 13:50:13,Música,1,2,6,,10,10,10,,6
14/10/2020 14:10:20,Básica,4,7,8,,10,9,10,,8
14/10/2020 15:47:32,Básica,4,7,8,,10,9,10,,7
14/10/2020 18:45:03,Inglés,8,8,7,6,7,10,10,,7
15/10/2020 10:07:07,Educación física,5,6,8,1,8,8,7,,9
15/10/2020 10:09:30,Educación física,48,10,10,10,6,6,7,,5
15/10/2020 10:12:40,Educación física,3,10,10,,10,8,10,,10
15/10/2020 13:17:18,Educación física,5,10,10,,10,10,10,,10
16/10/2020 21:13:59,Educación física,48,10,10,10,6,6,7,,7
19/10/2020 13:54:26,Educación física,48,10,10,10,6,6,7,,6
19/10/2020 23:29:14,Orientación,10,8,10,,10,,10,,
20/10/2020 0:01:38,Orientación,10,8,10,,10,,10,,
20/10/2020 4:15:26,Orientación,10,8,10,,10,,10,,
