,index,holgura
0,"(0, 1)",0.0
1,"(1, 1)",0.0
2,"(2, 1)",0.0
3,"(3, 1)",0.0
4,"(4, 1)",0.0
5,"(5, 1)",0.0
6,"(6, 1)",0.0
7,"(7, 1)",0.0
8,"(8, 1)",0.0
9,"(9, 1)",0.0
10,"(10, 1)",0.0
11,"(11, 1)",0.0
12,"(12, 1)",0.0
13,"(13, 1)",0.0
14,"(14, 1)",0.0
15,"(15, 1)",0.0
16,"(16, 1)",0.0
17,"(17, 1)",0.0
18,"(18, 1)",0.0
19,"(19, 1)",0.0
20,"(20, 1)",0.0
21,"(0, 2)",0.0
22,"(1, 2)",0.0
23,"(2, 2)",0.0
24,"(3, 2)",0.0
25,"(4, 2)",0.0
26,"(5, 2)",0.0
27,"(6, 2)",0.0
28,"(7, 2)",0.0
29,"(8, 2)",0.0
30,"(9, 2)",0.0
31,"(10, 2)",0.0
32,"(11, 2)",0.0
33,"(12, 2)",0.0
34,"(13, 2)",0.0
35,"(14, 2)",0.0
36,"(15, 2)",0.0
37,"(16, 2)",0.0
38,"(17, 2)",0.0
39,"(18, 2)",0.0
40,"(19, 2)",0.0
41,"(20, 2)",0.0
42,"(0, 3)",0.0
43,"(1, 3)",0.0
44,"(2, 3)",0.0
45,"(3, 3)",0.0
46,"(4, 3)",0.0
47,"(5, 3)",0.0
48,"(6, 3)",0.0
49,"(7, 3)",0.0
50,"(8, 3)",0.0
51,"(9, 3)",0.0
52,"(10, 3)",0.0
53,"(11, 3)",0.0
54,"(12, 3)",0.0
55,"(13, 3)",0.0
56,"(14, 3)",0.0
57,"(15, 3)",0.0
58,"(16, 3)",0.0
59,"(17, 3)",0.0
60,"(18, 3)",0.0
61,"(19, 3)",0.0
62,"(20, 3)",0.0
63,"(0, 4)",0.0
64,"(1, 4)",0.0
65,"(2, 4)",0.0
66,"(3, 4)",0.0
67,"(4, 4)",0.0
68,"(5, 4)",0.0
69,"(6, 4)",0.0
70,"(7, 4)",0.0
71,"(8, 4)",0.0
72,"(9, 4)",0.0
73,"(10, 4)",0.0
74,"(11, 4)",0.0
75,"(12, 4)",0.0
76,"(13, 4)",0.0
77,"(14, 4)",0.0
78,"(15, 4)",0.0
79,"(16, 4)",0.0
80,"(17, 4)",0.0
81,"(18, 4)",0.0
82,"(19, 4)",0.0
83,"(20, 4)",0.0
84,"(0, 5)",0.0
85,"(1, 5)",0.0
86,"(2, 5)",0.0
87,"(3, 5)",0.0
88,"(4, 5)",0.0
89,"(5, 5)",0.0
90,"(6, 5)",0.0
91,"(7, 5)",0.0
92,"(8, 5)",0.0
93,"(9, 5)",0.0
94,"(10, 5)",0.0
95,"(11, 5)",0.0
96,"(12, 5)",0.0
97,"(13, 5)",0.0
98,"(14, 5)",0.0
99,"(15, 5)",0.0
100,"(16, 5)",0.0
101,"(17, 5)",0.0
102,"(18, 5)",0.0
103,"(19, 5)",0.0
104,"(20, 5)",0.0
105,"(0, 6)",0.0
106,"(1, 6)",0.0
107,"(2, 6)",0.0
108,"(3, 6)",0.0
109,"(4, 6)",0.0
110,"(5, 6)",0.0
111,"(6, 6)",0.0
112,"(7, 6)",0.0
113,"(8, 6)",0.0
114,"(9, 6)",0.0
115,"(10, 6)",0.0
116,"(11, 6)",0.0
117,"(12, 6)",0.0
118,"(13, 6)",0.0
119,"(14, 6)",0.0
120,"(15, 6)",0.0
121,"(16, 6)",0.0
122,"(17, 6)",0.0
123,"(18, 6)",0.0
124,"(19, 6)",0.0
125,"(20, 6)",0.0
126,"(0, 7)",-3.0
127,"(1, 7)",0.0
128,"(2, 7)",0.0
129,"(3, 7)",0.0
130,"(4, 7)",-2.0
131,"(5, 7)",0.0
132,"(6, 7)",0.0
133,"(7, 7)",0.0
134,"(8, 7)",0.0
135,"(9, 7)",0.0
136,"(10, 7)",0.0
137,"(11, 7)",0.0
138,"(12, 7)",-4.999999999999998
139,"(13, 7)",0.0
140,"(14, 7)",0.0
141,"(15, 7)",0.0
142,"(16, 7)",0.0
143,"(17, 7)",0.0
144,"(18, 7)",0.0
145,"(19, 7)",0.0
146,"(20, 7)",0.0
147,"(0, 8)",0.0
148,"(1, 8)",0.0
149,"(2, 8)",0.0
150,"(3, 8)",0.0
151,"(4, 8)",0.0
152,"(5, 8)",0.0
153,"(6, 8)",-5.0
154,"(7, 8)",0.0
155,"(8, 8)",0.0
156,"(9, 8)",0.0
157,"(10, 8)",0.0
158,"(11, 8)",0.0
159,"(12, 8)",0.0
160,"(13, 8)",0.0
161,"(14, 8)",0.0
162,"(15, 8)",0.0
163,"(16, 8)",-48.0
164,"(17, 8)",-48.0
165,"(18, 8)",0.0
166,"(19, 8)",0.0
167,"(20, 8)",0.0
