,contenido,semana,departamento
0,0,2,Educación física
1,1,2,Básica
2,2,2,Básica
3,3,2,Básica
4,4,2,Básica
5,5,2,Básica
6,6,2,Básica
7,7,2,Inglés
8,8,2,Inglés
9,9,2,Orientación
10,10,2,Orientación
11,11,2,Orientación
12,12,2,Música
13,13,2,Educación física
14,14,2,Básica
15,15,2,Básica
16,16,2,Básica
17,17,2,Básica
18,18,2,Básica
19,19,2,Básica
20,20,2,Inglés
21,21,2,Inglés
22,22,2,Orientación
23,23,2,Orientación
24,24,2,Orientación
25,25,3,Música
26,26,3,Educación física
27,27,3,Básica
28,28,3,Básica
29,29,3,Básica
30,30,3,Básica
31,31,3,Básica
32,32,3,Básica
33,33,3,Inglés
34,34,3,Inglés
35,35,3,Orientación
36,36,3,Orientación
37,37,3,Orientación
38,38,4,Música
39,39,4,Educación física
40,40,4,Básica
41,41,4,Básica
42,42,4,Básica
43,43,4,Básica
44,44,4,Básica
45,45,4,Básica
46,46,4,Inglés
47,47,4,Inglés
48,48,4,Orientación
49,49,4,Orientación
50,50,4,Orientación
51,51,5,Música
52,52,5,Educación física
53,53,5,Básica
54,54,5,Básica
55,55,5,Básica
56,56,5,Básica
57,57,5,Básica
58,58,5,Básica
59,59,5,Inglés
60,60,5,Inglés
61,61,5,Orientación
62,62,5,Orientación
63,63,5,Orientación
64,64,6,Música
65,65,7,Educación física
66,66,6,Básica
67,67,6,Básica
68,68,6,Básica
69,69,6,Básica
70,70,6,Básica
71,71,6,Básica
72,72,6,Inglés
73,73,6,Inglés
74,74,6,Orientación
75,75,6,Orientación
76,76,6,Orientación
77,77,7,Música
78,78,8,Educación física
79,79,7,Básica
80,80,7,Básica
81,81,7,Básica
82,82,8,Básica
83,83,8,Básica
84,84,7,Básica
85,85,7,Inglés
86,86,7,Inglés
87,87,7,Orientación
88,88,8,Orientación
89,89,8,Orientación
90,90,8,Música
91,92,8,Básica
92,93,8,Básica
93,94,8,Básica
94,97,8,Básica
95,98,8,Inglés
