,index,holgura
0,"(0, 1)",0.0
1,"(1, 1)",0.0
2,"(2, 1)",0.0
3,"(3, 1)",0.0
4,"(4, 1)",0.0
5,"(5, 1)",0.0
6,"(6, 1)",-1.7763568394002505e-15
7,"(7, 1)",0.0
8,"(8, 1)",0.0
9,"(9, 1)",0.0
10,"(10, 1)",0.0
11,"(11, 1)",0.0
12,"(12, 1)",0.0
13,"(13, 1)",0.0
14,"(14, 1)",0.0
15,"(15, 1)",0.0
16,"(16, 1)",0.0
17,"(17, 1)",0.0
18,"(18, 1)",0.0
19,"(19, 1)",0.0
20,"(20, 1)",0.0
21,"(0, 2)",0.0
22,"(1, 2)",0.0
23,"(2, 2)",0.0
24,"(3, 2)",0.0
25,"(4, 2)",0.0
26,"(5, 2)",0.0
27,"(6, 2)",0.0
28,"(7, 2)",0.0
29,"(8, 2)",0.0
30,"(9, 2)",0.0
31,"(10, 2)",0.0
32,"(11, 2)",0.0
33,"(12, 2)",0.0
34,"(13, 2)",0.0
35,"(14, 2)",0.0
36,"(15, 2)",0.0
37,"(16, 2)",0.0
38,"(17, 2)",0.0
39,"(18, 2)",0.0
40,"(19, 2)",0.0
41,"(20, 2)",0.0
42,"(0, 3)",0.0
43,"(1, 3)",0.0
44,"(2, 3)",0.0
45,"(3, 3)",0.0
46,"(4, 3)",0.0
47,"(5, 3)",0.0
48,"(6, 3)",0.0
49,"(7, 3)",0.0
50,"(8, 3)",0.0
51,"(9, 3)",0.0
52,"(10, 3)",0.0
53,"(11, 3)",0.0
54,"(12, 3)",0.0
55,"(13, 3)",0.0
56,"(14, 3)",0.0
57,"(15, 3)",0.0
58,"(16, 3)",0.0
59,"(17, 3)",0.0
60,"(18, 3)",0.0
61,"(19, 3)",0.0
62,"(20, 3)",0.0
63,"(0, 4)",0.0
64,"(1, 4)",0.0
65,"(2, 4)",0.0
66,"(3, 4)",0.0
67,"(4, 4)",0.0
68,"(5, 4)",0.0
69,"(6, 4)",-5.0
70,"(7, 4)",0.0
71,"(8, 4)",0.0
72,"(9, 4)",0.0
73,"(10, 4)",0.0
74,"(11, 4)",0.0
75,"(12, 4)",0.0
76,"(13, 4)",0.0
77,"(14, 4)",0.0
78,"(15, 4)",0.0
79,"(16, 4)",0.0
80,"(17, 4)",0.0
81,"(18, 4)",0.0
82,"(19, 4)",0.0
83,"(20, 4)",0.0
