,index,holgura
0,0,3.0
1,1,6.0
2,2,6.0
3,3,6.0
4,4,6.0
5,5,6.0
6,6,6.0
7,7,6.0
8,8,6.0
9,9,6.0
10,10,6.0
11,11,6.0
12,12,4.0
13,13,5.0
14,14,7.0
15,15,7.0
16,16,7.0
17,17,7.0
18,18,7.0
19,19,7.0
20,20,7.0
21,21,7.0
22,22,7.0
23,23,7.0
24,24,7.0
25,25,7.0
26,26,6.0
27,27,7.0
28,28,7.0
29,29,7.0
30,30,7.0
31,31,7.0
32,32,7.0
33,33,7.0
34,34,7.0
35,35,7.0
36,36,7.0
37,37,5.0
38,38,7.0
39,39,6.0
40,40,7.0
41,41,7.0
42,42,6.0
43,43,7.0
44,44,6.0
45,45,7.0
46,46,7.0
47,47,6.0
48,48,6.0
49,49,7.0
50,50,7.0
51,51,6.0
