,index,holgura
0,"(0, 'Básica')",-63.0
1,"(0, 'Orientación')",-63.0
2,"(0, 'Inglés')",-63.0
3,"(0, 'Música')",-63.0
4,"(0, 'Educación física')",-61.0
5,"(1, 'Básica')",1.758593271006248e-13
6,"(1, 'Orientación')",-1.9999999999998241
7,"(1, 'Inglés')",-1.9999999999998241
8,"(1, 'Música')",-1.9999999999998241
9,"(1, 'Educación física')",-1.9999999999998241
10,"(2, 'Básica')",2.1760371282653068e-13
11,"(2, 'Orientación')",-1.9999999999997824
12,"(2, 'Inglés')",-1.9999999999997824
13,"(2, 'Música')",-1.9999999999997824
14,"(2, 'Educación física')",-1.9999999999997824
15,"(3, 'Básica')",1.1013412404281553e-13
16,"(3, 'Orientación')",-1.9999999999998899
17,"(3, 'Inglés')",-1.9999999999998899
18,"(3, 'Música')",-1.9999999999998899
19,"(3, 'Educación física')",-1.9999999999998899
20,"(4, 'Básica')",1.900701818158268e-13
21,"(4, 'Orientación')",-1.99999999999981
22,"(4, 'Inglés')",-1.99999999999981
23,"(4, 'Música')",-1.99999999999981
24,"(4, 'Educación física')",-1.99999999999981
25,"(5, 'Básica')",1.758593271006248e-13
26,"(5, 'Orientación')",-1.9999999999998241
27,"(5, 'Inglés')",-1.9999999999998241
28,"(5, 'Música')",-1.9999999999998241
29,"(5, 'Educación física')",-1.9999999999998241
30,"(6, 'Básica')",1.5276668818842154e-13
31,"(6, 'Orientación')",-1.9999999999998472
32,"(6, 'Inglés')",-1.9999999999998472
33,"(6, 'Música')",-1.9999999999998472
34,"(6, 'Educación física')",-1.9999999999998472
35,"(7, 'Básica')",-2.0
36,"(7, 'Orientación')",-2.0
37,"(7, 'Inglés')",-0.0
38,"(7, 'Música')",-2.0
39,"(7, 'Educación física')",-2.0
40,"(8, 'Básica')",-13.000000000000002
41,"(8, 'Orientación')",-13.000000000000002
42,"(8, 'Inglés')",-11.000000000000002
43,"(8, 'Música')",-13.000000000000002
44,"(8, 'Educación física')",-13.000000000000002
45,"(9, 'Básica')",-19.0
46,"(9, 'Orientación')",-17.0
47,"(9, 'Inglés')",-19.0
48,"(9, 'Música')",-19.0
49,"(9, 'Educación física')",-19.0
50,"(10, 'Básica')",-2.0
51,"(10, 'Orientación')",-0.0
52,"(10, 'Inglés')",-2.0
53,"(10, 'Música')",-2.0
54,"(10, 'Educación física')",-2.0
55,"(11, 'Básica')",-2.0
56,"(11, 'Orientación')",-0.0
57,"(11, 'Inglés')",-2.0
58,"(11, 'Música')",-2.0
59,"(11, 'Educación física')",-2.0
60,"(12, 'Básica')",-2.0
61,"(12, 'Orientación')",-2.0
62,"(12, 'Inglés')",-2.0
63,"(12, 'Música')",-0.0
64,"(12, 'Educación física')",-2.0
