,index,holgura
0,"(0, 'Básica')",-3.0000000000000044
1,"(0, 'Orientación')",-3.0000000000000044
2,"(0, 'Inglés')",-3.0000000000000044
3,"(0, 'Música')",-3.0000000000000044
4,"(0, 'Educación física')",-1.0000000000000044
5,"(1, 'Básica')",5.684341886080802e-14
6,"(1, 'Orientación')",-1.9999999999999432
7,"(1, 'Inglés')",-1.9999999999999432
8,"(1, 'Música')",-1.9999999999999432
9,"(1, 'Educación física')",-1.9999999999999432
10,"(2, 'Básica')",6.394884621840902e-14
11,"(2, 'Orientación')",-1.999999999999936
12,"(2, 'Inglés')",-1.999999999999936
13,"(2, 'Música')",-1.999999999999936
14,"(2, 'Educación física')",-1.999999999999936
15,"(3, 'Básica')",-0.0
16,"(3, 'Orientación')",-2.0
17,"(3, 'Inglés')",-2.0
18,"(3, 'Música')",-2.0
19,"(3, 'Educación física')",-2.0
20,"(4, 'Básica')",-3.000000000000121
21,"(4, 'Orientación')",-5.000000000000121
22,"(4, 'Inglés')",-5.000000000000121
23,"(4, 'Música')",-5.000000000000121
24,"(4, 'Educación física')",-5.000000000000121
25,"(5, 'Básica')",-0.0
26,"(5, 'Orientación')",-2.0
27,"(5, 'Inglés')",-2.0
28,"(5, 'Música')",-2.0
29,"(5, 'Educación física')",-2.0
30,"(6, 'Básica')",-0.0
31,"(6, 'Orientación')",-2.0
32,"(6, 'Inglés')",-2.0
33,"(6, 'Música')",-2.0
34,"(6, 'Educación física')",-2.0
35,"(7, 'Básica')",-4.0000000000000036
36,"(7, 'Orientación')",-4.0000000000000036
37,"(7, 'Inglés')",-2.0000000000000036
38,"(7, 'Música')",-4.0000000000000036
39,"(7, 'Educación física')",-4.0000000000000036
40,"(8, 'Básica')",-2.0
41,"(8, 'Orientación')",-2.0
42,"(8, 'Inglés')",-0.0
43,"(8, 'Música')",-2.0
44,"(8, 'Educación física')",-2.0
45,"(9, 'Básica')",-12.000000000000012
46,"(9, 'Orientación')",-10.000000000000012
47,"(9, 'Inglés')",-12.000000000000012
48,"(9, 'Música')",-12.000000000000012
49,"(9, 'Educación física')",-12.000000000000012
50,"(10, 'Básica')",-18.000000000000604
51,"(10, 'Orientación')",-16.000000000000604
52,"(10, 'Inglés')",-18.000000000000604
53,"(10, 'Música')",-18.000000000000604
54,"(10, 'Educación física')",-18.000000000000604
55,"(11, 'Básica')",-1.9999999999998561
56,"(11, 'Orientación')",1.438849039914203e-13
57,"(11, 'Inglés')",-1.9999999999998561
58,"(11, 'Música')",-1.9999999999998561
59,"(11, 'Educación física')",-1.9999999999998561
60,"(12, 'Básica')",-3.000000000000001
61,"(12, 'Orientación')",-3.000000000000001
62,"(12, 'Inglés')",-3.000000000000001
63,"(12, 'Música')",-1.0000000000000009
64,"(12, 'Educación física')",-3.000000000000001
65,"(13, 'Básica')",-2.0
66,"(13, 'Orientación')",-2.0
67,"(13, 'Inglés')",-2.0
68,"(13, 'Música')",-2.0
69,"(13, 'Educación física')",-0.0
70,"(14, 'Básica')",1.247890679678676e-13
71,"(14, 'Orientación')",-1.9999999999998752
72,"(14, 'Inglés')",-1.9999999999998752
73,"(14, 'Música')",-1.9999999999998752
74,"(14, 'Educación física')",-1.9999999999998752
75,"(15, 'Básica')",-0.0
76,"(15, 'Orientación')",-2.0
77,"(15, 'Inglés')",-2.0
78,"(15, 'Música')",-2.0
79,"(15, 'Educación física')",-2.0
80,"(16, 'Básica')",-1.0000000000001243
81,"(16, 'Orientación')",-3.0000000000001243
82,"(16, 'Inglés')",-3.0000000000001243
83,"(16, 'Música')",-3.0000000000001243
84,"(16, 'Educación física')",-3.0000000000001243
85,"(17, 'Básica')",-0.0
86,"(17, 'Orientación')",-2.0
87,"(17, 'Inglés')",-2.0
88,"(17, 'Música')",-2.0
89,"(17, 'Educación física')",-2.0
90,"(18, 'Básica')",-2.0
91,"(18, 'Orientación')",-4.0
92,"(18, 'Inglés')",-4.0
93,"(18, 'Música')",-4.0
94,"(18, 'Educación física')",-4.0
95,"(19, 'Básica')",-0.0
96,"(19, 'Orientación')",-2.0
97,"(19, 'Inglés')",-2.0
98,"(19, 'Música')",-2.0
99,"(19, 'Educación física')",-2.0
100,"(20, 'Básica')",-1.999999999999998
101,"(20, 'Orientación')",-1.999999999999998
102,"(20, 'Inglés')",1.9984014443252818e-15
103,"(20, 'Música')",-1.999999999999998
104,"(20, 'Educación física')",-1.999999999999998
105,"(21, 'Básica')",-1.999999999999998
106,"(21, 'Orientación')",-1.999999999999998
107,"(21, 'Inglés')",1.9984014443252818e-15
108,"(21, 'Música')",-1.999999999999998
109,"(21, 'Educación física')",-1.999999999999998
110,"(22, 'Básica')",-16.0
111,"(22, 'Orientación')",-14.0
112,"(22, 'Inglés')",-16.0
113,"(22, 'Música')",-16.0
114,"(22, 'Educación física')",-16.0
115,"(23, 'Básica')",-1.9999999999995417
116,"(23, 'Orientación')",4.583000645652646e-13
117,"(23, 'Inglés')",-1.9999999999995417
118,"(23, 'Música')",-1.9999999999995417
119,"(23, 'Educación física')",-1.9999999999995417
120,"(24, 'Básica')",-2.0
121,"(24, 'Orientación')",-0.0
122,"(24, 'Inglés')",-2.0
123,"(24, 'Música')",-2.0
124,"(24, 'Educación física')",-2.0
125,"(25, 'Básica')",-1.9999999999999991
126,"(25, 'Orientación')",-1.9999999999999991
127,"(25, 'Inglés')",-1.9999999999999991
128,"(25, 'Música')",8.881784197001252e-16
129,"(25, 'Educación física')",-1.9999999999999991
130,"(26, 'Básica')",-78.0
131,"(26, 'Orientación')",-78.0
132,"(26, 'Inglés')",-78.0
133,"(26, 'Música')",-78.0
134,"(26, 'Educación física')",-76.0
135,"(27, 'Básica')",-6.0
136,"(27, 'Orientación')",-8.0
137,"(27, 'Inglés')",-8.0
138,"(27, 'Música')",-8.0
139,"(27, 'Educación física')",-8.0
140,"(28, 'Básica')",-17.0
141,"(28, 'Orientación')",-19.0
142,"(28, 'Inglés')",-19.0
143,"(28, 'Música')",-19.0
144,"(28, 'Educación física')",-19.0
145,"(29, 'Básica')",1.0258460747536446e-12
146,"(29, 'Orientación')",-1.9999999999989742
147,"(29, 'Inglés')",-1.9999999999989742
148,"(29, 'Música')",-1.9999999999989742
149,"(29, 'Educación física')",-1.9999999999989742
150,"(30, 'Básica')",-1.0000000000017923
151,"(30, 'Orientación')",-3.0000000000017923
152,"(30, 'Inglés')",-3.0000000000017923
153,"(30, 'Música')",-3.0000000000017923
154,"(30, 'Educación física')",-3.0000000000017923
155,"(31, 'Básica')",7.664979762012081e-13
156,"(31, 'Orientación')",-1.9999999999992335
157,"(31, 'Inglés')",-1.9999999999992335
158,"(31, 'Música')",-1.9999999999992335
159,"(31, 'Educación física')",-1.9999999999992335
160,"(32, 'Básica')",-0.0
161,"(32, 'Orientación')",-2.0
162,"(32, 'Inglés')",-2.0
163,"(32, 'Música')",-2.0
164,"(32, 'Educación física')",-2.0
165,"(33, 'Básica')",-2.0
166,"(33, 'Orientación')",-2.0
167,"(33, 'Inglés')",-0.0
168,"(33, 'Música')",-2.0
169,"(33, 'Educación física')",-2.0
170,"(34, 'Básica')",-13.0
171,"(34, 'Orientación')",-13.0
172,"(34, 'Inglés')",-11.0
173,"(34, 'Música')",-13.0
174,"(34, 'Educación física')",-13.0
175,"(35, 'Básica')",-25.0
176,"(35, 'Orientación')",-23.0
177,"(35, 'Inglés')",-25.0
178,"(35, 'Música')",-25.0
179,"(35, 'Educación física')",-25.0
180,"(36, 'Básica')",-26.000000000000007
181,"(36, 'Orientación')",-24.000000000000007
182,"(36, 'Inglés')",-26.000000000000007
183,"(36, 'Música')",-26.000000000000007
184,"(36, 'Educación física')",-26.000000000000007
185,"(37, 'Básica')",-25.0
186,"(37, 'Orientación')",-23.0
187,"(37, 'Inglés')",-25.0
188,"(37, 'Música')",-25.0
189,"(37, 'Educación física')",-25.0
190,"(38, 'Básica')",-1.9999999999999893
191,"(38, 'Orientación')",-1.9999999999999893
192,"(38, 'Inglés')",-1.9999999999999893
193,"(38, 'Música')",1.0658141036401503e-14
194,"(38, 'Educación física')",-1.9999999999999893
195,"(39, 'Básica')",-64.0
196,"(39, 'Orientación')",-64.0
197,"(39, 'Inglés')",-64.0
198,"(39, 'Música')",-64.0
199,"(39, 'Educación física')",-62.0
200,"(40, 'Básica')",-6.0
201,"(40, 'Orientación')",-8.0
202,"(40, 'Inglés')",-8.0
203,"(40, 'Música')",-8.0
204,"(40, 'Educación física')",-8.0
205,"(41, 'Básica')",-1.0
206,"(41, 'Orientación')",-3.0
207,"(41, 'Inglés')",-3.0
208,"(41, 'Música')",-3.0
209,"(41, 'Educación física')",-3.0
210,"(42, 'Básica')",-0.0
211,"(42, 'Orientación')",-2.0
212,"(42, 'Inglés')",-2.0
213,"(42, 'Música')",-2.0
214,"(42, 'Educación física')",-2.0
215,"(43, 'Básica')",-0.0
216,"(43, 'Orientación')",-2.0
217,"(43, 'Inglés')",-2.0
218,"(43, 'Música')",-2.0
219,"(43, 'Educación física')",-2.0
220,"(44, 'Básica')",-0.0
221,"(44, 'Orientación')",-2.0
222,"(44, 'Inglés')",-2.0
223,"(44, 'Música')",-2.0
224,"(44, 'Educación física')",-2.0
225,"(45, 'Básica')",-0.0
226,"(45, 'Orientación')",-2.0
227,"(45, 'Inglés')",-2.0
228,"(45, 'Música')",-2.0
229,"(45, 'Educación física')",-2.0
230,"(46, 'Básica')",-12.0
231,"(46, 'Orientación')",-12.0
232,"(46, 'Inglés')",-10.0
233,"(46, 'Música')",-12.0
234,"(46, 'Educación física')",-12.0
235,"(47, 'Básica')",-2.0
236,"(47, 'Orientación')",-2.0
237,"(47, 'Inglés')",-0.0
238,"(47, 'Música')",-2.0
239,"(47, 'Educación física')",-2.0
240,"(48, 'Básica')",-16.0
241,"(48, 'Orientación')",-14.0
242,"(48, 'Inglés')",-16.0
243,"(48, 'Música')",-16.0
244,"(48, 'Educación física')",-16.0
245,"(49, 'Básica')",-14.000000000000014
246,"(49, 'Orientación')",-12.000000000000014
247,"(49, 'Inglés')",-14.000000000000014
248,"(49, 'Música')",-14.000000000000014
249,"(49, 'Educación física')",-14.000000000000014
250,"(50, 'Básica')",-9.0
251,"(50, 'Orientación')",-7.0
252,"(50, 'Inglés')",-9.0
253,"(50, 'Música')",-9.0
254,"(50, 'Educación física')",-9.0
255,"(51, 'Básica')",-1.99999999999996
256,"(51, 'Orientación')",-1.99999999999996
257,"(51, 'Inglés')",-1.99999999999996
258,"(51, 'Música')",3.9968028886505635e-14
259,"(51, 'Educación física')",-1.99999999999996
260,"(52, 'Básica')",-76.0
261,"(52, 'Orientación')",-76.0
262,"(52, 'Inglés')",-76.0
263,"(52, 'Música')",-76.0
264,"(52, 'Educación física')",-74.0
265,"(53, 'Básica')",1.4175327578413999e-12
266,"(53, 'Orientación')",-1.9999999999985825
267,"(53, 'Inglés')",-1.9999999999985825
268,"(53, 'Música')",-1.9999999999985825
269,"(53, 'Educación física')",-1.9999999999985825
270,"(54, 'Básica')",-8.000000000001418
271,"(54, 'Orientación')",-10.000000000001418
272,"(54, 'Inglés')",-10.000000000001418
273,"(54, 'Música')",-10.000000000001418
274,"(54, 'Educación física')",-10.000000000001418
275,"(55, 'Básica')",-0.0
276,"(55, 'Orientación')",-2.0
277,"(55, 'Inglés')",-2.0
278,"(55, 'Música')",-2.0
279,"(55, 'Educación física')",-2.0
280,"(56, 'Básica')",-9.00000000000002
281,"(56, 'Orientación')",-11.00000000000002
