,index,X
0,"(0, 0, 1)",0.0
1,"(0, 0, 2)",0.0
2,"(0, 0, 3)",0.0
3,"(0, 0, 4)",0.0
4,"(0, 1, 1)",0.0
5,"(0, 1, 2)",0.0
6,"(0, 1, 3)",0.0
7,"(0, 1, 4)",0.0
8,"(0, 2, 1)",0.0
9,"(0, 2, 2)",0.0
10,"(0, 2, 3)",0.0
11,"(0, 2, 4)",0.0
12,"(0, 3, 1)",0.0
13,"(0, 3, 2)",0.0
14,"(0, 3, 3)",0.0
15,"(0, 3, 4)",0.0
16,"(0, 4, 1)",0.0
17,"(0, 4, 2)",0.0
18,"(0, 4, 3)",0.0
19,"(0, 4, 4)",0.0
20,"(0, 5, 1)",0.0
21,"(0, 5, 2)",0.0
22,"(0, 5, 3)",0.0
23,"(0, 5, 4)",0.0
24,"(0, 6, 1)",0.0
25,"(0, 6, 2)",0.0
26,"(0, 6, 3)",0.0
27,"(0, 6, 4)",0.0
28,"(0, 7, 1)",0.0
29,"(0, 7, 2)",0.0
30,"(0, 7, 3)",0.0
31,"(0, 7, 4)",0.0
32,"(0, 8, 1)",0.0
33,"(0, 8, 2)",0.0
34,"(0, 8, 3)",0.0
35,"(0, 8, 4)",0.0
36,"(0, 9, 1)",0.0
37,"(0, 9, 2)",0.0
38,"(0, 9, 3)",0.0
39,"(0, 9, 4)",0.0
40,"(0, 10, 1)",0.0
41,"(0, 10, 2)",0.0
42,"(0, 10, 3)",0.0
43,"(0, 10, 4)",0.0
44,"(0, 11, 1)",0.0
45,"(0, 11, 2)",0.0
46,"(0, 11, 3)",0.0
47,"(0, 11, 4)",0.0
48,"(0, 12, 1)",0.0
49,"(0, 12, 2)",0.0
50,"(0, 12, 3)",0.0
51,"(0, 12, 4)",0.0
52,"(0, 13, 1)",0.0
53,"(0, 13, 2)",0.0
54,"(0, 13, 3)",0.0
55,"(0, 13, 4)",0.0
56,"(0, 14, 1)",0.0
57,"(0, 14, 2)",0.0
58,"(0, 14, 3)",0.0
59,"(0, 14, 4)",0.0
60,"(0, 15, 1)",0.0
61,"(0, 15, 2)",0.0
62,"(0, 15, 3)",0.0
63,"(0, 15, 4)",0.0
64,"(0, 16, 1)",0.0
65,"(0, 16, 2)",0.0
66,"(0, 16, 3)",0.0
67,"(0, 16, 4)",0.0
68,"(0, 17, 1)",0.0
69,"(0, 17, 2)",0.0
70,"(0, 17, 3)",0.0
71,"(0, 17, 4)",0.0
72,"(0, 18, 1)",0.0
73,"(0, 18, 2)",0.0
74,"(0, 18, 3)",0.0
75,"(0, 18, 4)",0.0
76,"(0, 19, 1)",0.0
77,"(0, 19, 2)",0.0
78,"(0, 19, 3)",0.0
79,"(0, 19, 4)",0.0
80,"(0, 20, 1)",0.0
81,"(0, 20, 2)",0.0
82,"(0, 20, 3)",0.0
83,"(0, 20, 4)",0.0
84,"(0, 21, 1)",0.0
85,"(0, 21, 2)",0.0
86,"(0, 21, 3)",0.0
87,"(0, 21, 4)",0.0
88,"(0, 22, 1)",0.0
89,"(0, 22, 2)",0.0
90,"(0, 22, 3)",0.0
91,"(0, 22, 4)",0.0
92,"(0, 23, 1)",0.0
93,"(0, 23, 2)",0.0
94,"(0, 23, 3)",0.0
95,"(0, 23, 4)",0.0
96,"(0, 24, 1)",0.0
97,"(0, 24, 2)",0.0
98,"(0, 24, 3)",0.0
99,"(0, 24, 4)",0.0
100,"(0, 25, 1)",0.0
101,"(0, 25, 2)",0.0
102,"(0, 25, 3)",0.0
103,"(0, 25, 4)",0.0
104,"(0, 26, 1)",0.0
105,"(0, 26, 2)",0.0
106,"(0, 26, 3)",0.0
107,"(0, 26, 4)",0.0
108,"(0, 27, 1)",0.0
109,"(0, 27, 2)",0.0
110,"(0, 27, 3)",0.0
111,"(0, 27, 4)",0.0
112,"(0, 28, 1)",0.0
113,"(0, 28, 2)",0.0
114,"(0, 28, 3)",0.0
115,"(0, 28, 4)",0.0
116,"(0, 29, 1)",0.0
