,index,X
0,"(0, 1)",0.0
1,"(0, 2)",0.0
2,"(0, 3)",0.0
3,"(0, 4)",0.0
4,"(1, 1)",0.0
5,"(1, 2)",1.0
6,"(1, 3)",0.0
7,"(1, 4)",0.0
8,"(2, 1)",0.0
9,"(2, 2)",1.0
10,"(2, 3)",0.0
11,"(2, 4)",0.0
12,"(3, 1)",0.0
13,"(3, 2)",1.0
14,"(3, 3)",0.0
15,"(3, 4)",0.0
16,"(4, 1)",0.0
17,"(4, 2)",1.0
18,"(4, 3)",0.0
19,"(4, 4)",0.0
20,"(5, 1)",0.0
21,"(5, 2)",1.0
22,"(5, 3)",0.0
23,"(5, 4)",0.0
24,"(6, 1)",0.0
25,"(6, 2)",1.0
26,"(6, 3)",0.0
27,"(6, 4)",0.0
28,"(7, 1)",0.0
29,"(7, 2)",1.0
30,"(7, 3)",0.0
31,"(7, 4)",0.0
32,"(8, 1)",0.0
33,"(8, 2)",1.0
34,"(8, 3)",0.0
35,"(8, 4)",0.0
36,"(9, 1)",0.0
37,"(9, 2)",1.0
38,"(9, 3)",0.0
39,"(9, 4)",0.0
40,"(10, 1)",0.0
41,"(10, 2)",1.0
42,"(10, 3)",0.0
43,"(10, 4)",0.0
44,"(11, 1)",0.0
45,"(11, 2)",1.0
46,"(11, 3)",0.0
47,"(11, 4)",0.0
48,"(12, 1)",0.0
49,"(12, 2)",0.0
50,"(12, 3)",0.0
51,"(12, 4)",1.0
52,"(13, 1)",0.0
53,"(13, 2)",0.0
54,"(13, 3)",0.0
55,"(13, 4)",1.0
56,"(14, 1)",0.0
57,"(14, 2)",1.0
58,"(14, 3)",0.0
59,"(14, 4)",0.0
60,"(15, 1)",0.0
61,"(15, 2)",1.0
62,"(15, 3)",0.0
63,"(15, 4)",0.0
64,"(16, 1)",0.0
65,"(16, 2)",1.0
66,"(16, 3)",0.0
67,"(16, 4)",0.0
68,"(17, 1)",0.0
69,"(17, 2)",1.0
70,"(17, 3)",0.0
71,"(17, 4)",0.0
72,"(18, 1)",0.0
73,"(18, 2)",1.0
74,"(18, 3)",0.0
75,"(18, 4)",0.0
76,"(19, 1)",0.0
77,"(19, 2)",1.0
78,"(19, 3)",0.0
79,"(19, 4)",0.0
80,"(20, 1)",0.0
81,"(20, 2)",1.0
82,"(20, 3)",0.0
83,"(20, 4)",0.0
84,"(21, 1)",0.0
85,"(21, 2)",1.0
86,"(21, 3)",0.0
87,"(21, 4)",0.0
88,"(22, 1)",0.0
89,"(22, 2)",1.0
90,"(22, 3)",0.0
91,"(22, 4)",0.0
92,"(23, 1)",0.0
93,"(23, 2)",1.0
94,"(23, 3)",0.0
95,"(23, 4)",0.0
96,"(24, 1)",0.0
97,"(24, 2)",1.0
98,"(24, 3)",0.0
99,"(24, 4)",0.0
100,"(25, 1)",0.0
101,"(25, 2)",1.0
102,"(25, 3)",0.0
103,"(25, 4)",0.0
104,"(26, 1)",0.0
105,"(26, 2)",0.0
106,"(26, 3)",0.0
107,"(26, 4)",1.0
108,"(27, 1)",0.0
109,"(27, 2)",0.0
110,"(27, 3)",1.0
111,"(27, 4)",0.0
112,"(28, 1)",0.0
113,"(28, 2)",0.0
114,"(28, 3)",1.0
115,"(28, 4)",0.0
116,"(29, 1)",0.0
117,"(29, 2)",0.0
118,"(29, 3)",1.0
119,"(29, 4)",0.0
120,"(30, 1)",0.0
121,"(30, 2)",0.0
122,"(30, 3)",1.0
123,"(30, 4)",0.0
124,"(31, 1)",0.0
125,"(31, 2)",0.0
126,"(31, 3)",1.0
127,"(31, 4)",0.0
128,"(32, 1)",0.0
129,"(32, 2)",0.0
130,"(32, 3)",1.0
131,"(32, 4)",0.0
132,"(33, 1)",0.0
133,"(33, 2)",0.0
134,"(33, 3)",1.0
135,"(33, 4)",0.0
136,"(34, 1)",0.0
137,"(34, 2)",0.0
138,"(34, 3)",1.0
139,"(34, 4)",0.0
140,"(35, 1)",0.0
141,"(35, 2)",0.0
142,"(35, 3)",1.0
143,"(35, 4)",0.0
144,"(36, 1)",0.0
145,"(36, 2)",0.0
146,"(36, 3)",1.0
147,"(36, 4)",0.0
148,"(37, 1)",0.0
149,"(37, 2)",0.0
150,"(37, 3)",0.0
151,"(37, 4)",0.0
152,"(38, 1)",0.0
153,"(38, 2)",0.0
154,"(38, 3)",1.0
155,"(38, 4)",0.0
156,"(39, 1)",0.0
157,"(39, 2)",0.0
158,"(39, 3)",0.0
159,"(39, 4)",0.0
160,"(40, 1)",0.0
161,"(40, 2)",0.0
162,"(40, 3)",0.0
163,"(40, 4)",1.0
164,"(41, 1)",0.0
165,"(41, 2)",0.0
166,"(41, 3)",0.0
167,"(41, 4)",1.0
168,"(42, 1)",0.0
169,"(42, 2)",0.0
170,"(42, 3)",0.0
171,"(42, 4)",0.0
172,"(43, 1)",0.0
173,"(43, 2)",0.0
174,"(43, 3)",0.0
175,"(43, 4)",1.0
176,"(44, 1)",0.0
177,"(44, 2)",0.0
178,"(44, 3)",0.0
179,"(44, 4)",0.0
180,"(45, 1)",0.0
181,"(45, 2)",0.0
182,"(45, 3)",0.0
183,"(45, 4)",1.0
184,"(46, 1)",0.0
185,"(46, 2)",0.0
186,"(46, 3)",0.0
187,"(46, 4)",1.0
188,"(47, 1)",0.0
189,"(47, 2)",0.0
190,"(47, 3)",0.0
191,"(47, 4)",0.0
192,"(48, 1)",0.0
193,"(48, 2)",0.0
194,"(48, 3)",0.0
195,"(48, 4)",0.0
196,"(49, 1)",0.0
197,"(49, 2)",0.0
198,"(49, 3)",0.0
199,"(49, 4)",1.0
200,"(50, 1)",0.0
201,"(50, 2)",0.0
202,"(50, 3)",0.0
203,"(50, 4)",1.0
204,"(51, 1)",0.0
205,"(51, 2)",0.0
206,"(51, 3)",0.0
207,"(51, 4)",0.0
