,index,X
0,"(0, 1)",1.0
1,"(0, 2)",1.0
2,"(0, 3)",1.0
3,"(0, 4)",1.0
4,"(1, 1)",1.0
5,"(1, 2)",0.0
6,"(1, 3)",0.0
7,"(1, 4)",0.0
8,"(2, 1)",1.0
9,"(2, 2)",0.0
10,"(2, 3)",0.0
11,"(2, 4)",0.0
12,"(3, 1)",1.0
13,"(3, 2)",0.0
14,"(3, 3)",0.0
15,"(3, 4)",0.0
16,"(4, 1)",1.0
17,"(4, 2)",0.0
18,"(4, 3)",0.0
19,"(4, 4)",0.0
20,"(5, 1)",1.0
21,"(5, 2)",0.0
22,"(5, 3)",0.0
23,"(5, 4)",0.0
24,"(6, 1)",1.0
25,"(6, 2)",0.0
26,"(6, 3)",0.0
27,"(6, 4)",0.0
28,"(7, 1)",1.0
29,"(7, 2)",0.0
30,"(7, 3)",0.0
31,"(7, 4)",0.0
32,"(8, 1)",1.0
33,"(8, 2)",0.0
34,"(8, 3)",0.0
35,"(8, 4)",0.0
36,"(9, 1)",1.0
37,"(9, 2)",0.0
38,"(9, 3)",0.0
39,"(9, 4)",0.0
40,"(10, 1)",1.0
41,"(10, 2)",0.0
42,"(10, 3)",0.0
43,"(10, 4)",0.0
44,"(11, 1)",1.0
45,"(11, 2)",0.0
46,"(11, 3)",0.0
47,"(11, 4)",0.0
48,"(12, 1)",1.0
49,"(12, 2)",1.0
50,"(12, 3)",1.0
51,"(12, 4)",0.0
52,"(13, 1)",1.0
53,"(13, 2)",1.0
54,"(13, 3)",1.0
55,"(13, 4)",0.0
56,"(14, 1)",1.0
57,"(14, 2)",0.0
58,"(14, 3)",0.0
59,"(14, 4)",0.0
60,"(15, 1)",1.0
61,"(15, 2)",0.0
62,"(15, 3)",0.0
63,"(15, 4)",0.0
64,"(16, 1)",1.0
65,"(16, 2)",0.0
66,"(16, 3)",0.0
67,"(16, 4)",0.0
68,"(17, 1)",1.0
69,"(17, 2)",0.0
70,"(17, 3)",0.0
71,"(17, 4)",0.0
72,"(18, 1)",1.0
73,"(18, 2)",0.0
74,"(18, 3)",0.0
75,"(18, 4)",0.0
76,"(19, 1)",1.0
77,"(19, 2)",0.0
78,"(19, 3)",0.0
79,"(19, 4)",0.0
80,"(20, 1)",1.0
81,"(20, 2)",0.0
82,"(20, 3)",0.0
83,"(20, 4)",0.0
84,"(21, 1)",1.0
85,"(21, 2)",0.0
86,"(21, 3)",0.0
87,"(21, 4)",0.0
88,"(22, 1)",1.0
89,"(22, 2)",0.0
90,"(22, 3)",0.0
91,"(22, 4)",0.0
92,"(23, 1)",1.0
93,"(23, 2)",0.0
94,"(23, 3)",0.0
95,"(23, 4)",0.0
96,"(24, 1)",1.0
97,"(24, 2)",0.0
98,"(24, 3)",0.0
99,"(24, 4)",0.0
100,"(25, 1)",1.0
101,"(25, 2)",0.0
102,"(25, 3)",0.0
103,"(25, 4)",0.0
104,"(26, 1)",1.0
